RT;div;leg;distance;id_jour;id_loca;id_taxo;RLMax
19;Div0;Leg+;-18;44;RT19_d-18;Tri_alexa;43
19;Div0;Leg+;-15;44;RT19_d-15;Bra_napus;81
19;Div0;Leg+;-12;44;RT19_d-12;Lol_peren;30
19;Div0;Leg+;-9;44;RT19_d-9;Tri_alexa;25.3
19;Div0;Leg+;-6;44;RT19_d-6;Ver_persi;18.5
19;Div0;Leg+;-3;44;RT19_d-3;Tri_alexa;60
19;Div0;Leg+;0;44;RT19_d0;Bra_napus;80
19;Div0;Leg+;3;44;RT19_d+3;Ger_disse;8.5
19;Div0;Leg+;6;44;RT19_d+6;Tri_alexa;26.8
19;Div0;Leg+;9;44;RT19_d+9;Lol_peren;30.8
19;Div0;Leg+;12;44;RT19_d+12;Tri_alexa;29
19;Div0;Leg+;15;44;RT19_d+15;Bra_napus;91.2
19;Div0;Leg+;18;44;RT19_d+18;Ver_persi;3
19;Div0;Leg+;24;44;RT19_d+24;Ger_disse;28
20;Div1;Leg+;-24;44;RT20_d-24;Tri_alexa;33.8
20;Div1;Leg+;-21;44;RT20_d-21;Ger_disse;11.7
20;Div1;Leg+;-18;44;RT20_d-18;Tri_alexa;18.1
20;Div1;Leg+;-15;44;RT20_d-15;Bra_napus;98
20;Div1;Leg+;-12;44;RT20_d-12;Lol_peren;63.7
20;Div1;Leg+;-9;44;RT20_d-9;Tri_alexa;6.9
20;Div1;Leg+;-6;44;RT20_d-6;Ver_persi;15.8
20;Div1;Leg+;-3;44;RT20_d-3;Tri_alexa;15.6
20;Div1;Leg+;3;44;RT20_d+3;Ger_disse;3.3
20;Div1;Leg+;6;44;RT20_d+6;Tri_alexa;11.4
20;Div1;Leg+;9;44;RT20_d+9;Lol_peren;67.1
20;Div1;Leg+;12;44;RT20_d+12;Tri_alexa;20.1
20;Div1;Leg+;15;44;RT20_d+15;Bra_napus;83.1
20;Div1;Leg+;18;44;RT20_d+18;Ver_persi;11.5
20;Div1;Leg+;21;44;RT20_d+21;Tri_alexa;29.6
20;Div1;Leg+;24;44;RT20_d+24;Ger_disse;27.1
21;Div2;Leg-;-24;43;RT21_d-24;Lol_peren;23
21;Div2;Leg-;-18;43;RT21_d-18;Ver_persi;14.5
21;Div2;Leg-;-15;43;RT21_d-15;Bra_napus;96.1
21;Div2;Leg-;-12;43;RT21_d-12;Lol_peren;11.6
21;Div2;Leg-;-9;43;RT21_d-9;Ger_disse;10.8
21;Div2;Leg-;-3;43;RT21_d-3;Lol_peren;63.4
21;Div2;Leg-;0;43;RT21_d0;Bra_napus;94
21;Div2;Leg-;3;43;RT21_d+3;Ger_disse;13.4
21;Div2;Leg-;6;43;RT21_d+6;Ver_persi;32
21;Div2;Leg-;9;43;RT21_d+9;Lol_peren;75.3
21;Div2;Leg-;12;43;RT21_d+12;Ger_disse;18
21;Div2;Leg-;15;43;RT21_d+15;Bra_napus;84.5
21;Div2;Leg-;18;43;RT21_d+18;Ver_persi;21.6
21;Div2;Leg-;21;43;RT21_d+21;Lol_peren;60.2
21;Div2;Leg-;24;43;RT21_d+24;Ger_disse;14.1
22;Div3;Leg-;-24;43;RT22_d-24;Lol_peren;53
22;Div3;Leg-;-21;43;RT22_d-21;Ger_disse;10.2
22;Div3;Leg-;-18;43;RT22_d-18;Ver_persi;15.6
22;Div3;Leg-;-15;43;RT22_d-15;Bra_napus;82.5
22;Div3;Leg-;-12;43;RT22_d-12;Lol_peren;44.6
22;Div3;Leg-;-9;43;RT22_d-9;Ger_disse;5.7
22;Div3;Leg-;-6;43;RT22_d-6;Ver_persi;19
22;Div3;Leg-;-3;43;RT22_d-3;Lol_peren;67.3
22;Div3;Leg-;0;43;RT22_d0;Bra_napus;54.3
22;Div3;Leg-;6;43;RT22_d+6;Ver_persi;23.8
22;Div3;Leg-;9;43;RT22_d+9;Lol_peren;61.9
22;Div3;Leg-;12;43;RT22_d+12;Ger_disse;8.5
22;Div3;Leg-;15;43;RT22_d+15;Bra_napus;93.6
22;Div3;Leg-;18;43;RT22_d+18;Ver_persi;22.2
22;Div3;Leg-;21;43;RT22_d+21;Lol_peren;51.3
22;Div3;Leg-;24;43;RT22_d+24;Ger_disse;12.6
23;Div0;Leg-;-24;43;RT23_d-24;Lol_peren;76.8
23;Div0;Leg-;-21;43;RT23_d-21;Ger_disse;15.5
23;Div0;Leg-;-18;43;RT23_d-18;Ver_persi;21.3
23;Div0;Leg-;-15;43;RT23_d-15;Bra_napus;17.7
23;Div0;Leg-;-12;43;RT23_d-12;Lol_peren;55.3
23;Div0;Leg-;-9;43;RT23_d-9;Ger_disse;3.6
23;Div0;Leg-;-6;43;RT23_d-6;Ver_persi;12.9
23;Div0;Leg-;-3;43;RT23_d-3;Lol_peren;57.2
23;Div0;Leg-;0;43;RT23_d0;Bra_napus;96.2
23;Div0;Leg-;3;43;RT23_d+3;Ger_disse;54.3
23;Div0;Leg-;6;43;RT23_d+6;Ver_persi;11.7
23;Div0;Leg-;9;43;RT23_d+9;Lol_peren;65.3
23;Div0;Leg-;12;43;RT23_d+12;Ger_disse;5.5
23;Div0;Leg-;15;43;RT23_d+15;Bra_napus;79.1
23;Div0;Leg-;18;43;RT23_d+18;Ver_persi;10.4
23;Div0;Leg-;21;43;RT23_d+21;Lol_peren;68.4
23;Div0;Leg-;24;43;RT23_d+24;Ger_disse;25
24;Div1;Leg-;-24;43;RT24_d-24;Lol_peren;46.4
24;Div1;Leg-;-21;43;RT24_d-21;Ger_disse;7.7
24;Div1;Leg-;-18;43;RT24_d-18;Ver_persi;11.3
24;Div1;Leg-;-15;43;RT24_d-15;Bra_napus;75.9
24;Div1;Leg-;-12;43;RT24_d-12;Lol_peren;17.3
24;Div1;Leg-;-9;43;RT24_d-9;Ger_disse;14.4
24;Div1;Leg-;-6;43;RT24_d-6;Ver_persi;11.2
24;Div1;Leg-;-3;43;RT24_d-3;Lol_peren;29.4
24;Div1;Leg-;0;43;RT24_d0;Bra_napus;88.7
24;Div1;Leg-;3;43;RT24_d+3;Ger_disse;14.6
24;Div1;Leg-;6;43;RT24_d+6;Ver_persi;22.6
24;Div1;Leg-;9;43;RT24_d+9;Lol_peren;18.6
24;Div1;Leg-;12;43;RT24_d+12;Ger_disse;10
24;Div1;Leg-;15;43;RT24_d+15;Bra_napus;75
24;Div1;Leg-;18;43;RT24_d+18;Ver_persi;13.6
24;Div1;Leg-;21;43;RT24_d+21;Lol_peren;82.6
25;Div2;Leg-;-24;43;RT25_d-24;Lol_peren;10.2
25;Div2;Leg-;-21;43;RT25_d-21;Ger_disse;7.2
25;Div2;Leg-;-18;43;RT25_d-18;Ver_persi;13
25;Div2;Leg-;-15;43;RT25_d-15;Bra_napus;79
25;Div2;Leg-;-12;43;RT25_d-12;Lol_peren;35.3
25;Div2;Leg-;-9;43;RT25_d-9;Ger_disse;17.1
25;Div2;Leg-;-6;43;RT25_d-6;Ver_persi;6.9
25;Div2;Leg-;-3;43;RT25_d-3;Lol_peren;17.2
25;Div2;Leg-;0;43;RT25_d0;Bra_napus;71
25;Div2;Leg-;3;43;RT25_d+3;Ger_disse;3.7
25;Div2;Leg-;6;43;RT25_d+6;Ver_persi;2.9
25;Div2;Leg-;9;43;RT25_d+9;Lol_peren;54.1
25;Div2;Leg-;12;43;RT25_d+12;Ger_disse;9.6
25;Div2;Leg-;15;43;RT25_d+15;Bra_napus;65.2
25;Div2;Leg-;18;43;RT25_d+18;Ver_persi;16.1
25;Div2;Leg-;21;43;RT25_d+21;Lol_peren;57.6
25;Div2;Leg-;24;43;RT25_d+24;Ger_disse;4.7
26;Div3;Leg-;-24;42;RT26_d-24;Lol_peren;29.6
26;Div3;Leg-;-21;42;RT26_d-21;Ger_disse;5.2
26;Div3;Leg-;-18;42;RT26_d-18;Ver_persi;8.5
26;Div3;Leg-;-15;42;RT26_d-15;Bra_napus;57.4
26;Div3;Leg-;-12;42;RT26_d-12;Lol_peren;20.1
26;Div3;Leg-;-6;42;RT26_d-6;Ver_persi;13
26;Div3;Leg-;-3;42;RT26_d-3;Lol_peren;62.4
26;Div3;Leg-;0;42;RT26_d0;Bra_napus;84.3
26;Div3;Leg-;3;42;RT26_d+3;Ger_disse;35.5
26;Div3;Leg-;6;42;RT26_d+6;Ver_persi;18.6
26;Div3;Leg-;9;42;RT26_d+9;Lol_peren;54.9
26;Div3;Leg-;12;42;RT26_d+12;Ger_disse;16.7
26;Div3;Leg-;15;42;RT26_d+15;Bra_napus;69.7
26;Div3;Leg-;18;42;RT26_d+18;Ver_persi;10.6
26;Div3;Leg-;21;42;RT26_d+21;Lol_peren;45.6
26;Div3;Leg-;24;42;RT26_d+24;Ger_disse;8.9
27;Div0;Leg-;-24;42;RT27_d-24;Lol_peren;49.4
27;Div0;Leg-;-21;42;RT27_d-21;Ger_disse;9.9
27;Div0;Leg-;-18;42;RT27_d-18;Ver_persi;8.2
27;Div0;Leg-;-15;42;RT27_d-15;Bra_napus;84
27;Div0;Leg-;-12;42;RT27_d-12;Lol_peren;38.8
27;Div0;Leg-;-9;42;RT27_d-9;Ger_disse;15.8
27;Div0;Leg-;-6;42;RT27_d-6;Ver_persi;4.9
27;Div0;Leg-;-3;42;RT27_d-3;Lol_peren;66.7
27;Div0;Leg-;0;42;RT27_d0;Bra_napus;96.5
27;Div0;Leg-;3;42;RT27_d+3;Ger_disse;23.6
27;Div0;Leg-;6;42;RT27_d+6;Ver_persi;18.1
27;Div0;Leg-;9;42;RT27_d+9;Lol_peren;46.3
